TAGCODE as text,Release Year,Age,Brood Year,Release site,rel timing,rel loc rel to LGR,Begin Release,adult origin,AD+CWT+VIE at release,Number AD+CWT at release,AD+VIE at release,Adipose Only at release,CWT+VIE at release,CWT Only at release,BWT Only at release,BRAND ONLY at release,BWT +BRAND at release,VIE Only at release, Unmarked Untagged at release , Total Released at release , total WIRES at release , Total Adclips with wires at release , Total AD clips released wire and no wire , Estimated fallback rate ,% CWT at release,expected % AD cwt assoc,exp % no clip assoc (unmark/untag),% unm/untag at release (ignore PIT tags),% AD clipped
636885,2016,yearling,2014,LFH,,blw,,SR hatchery,,0,,0,,231744,,,,,8559," 240,303 ","231,744", -   , -   ,,0.96,0.00,1.00,4%,0.00 
636886,2016,yearling,2014,LFH,,blw,,SR hatchery,,238940,,6744,,661,,,,,529," 246,874 ","239,601"," 238,940 "," 245,684 ",,0.97,0.93,0.07,0%,1.00 
90888,2015,subyearling,2014,HC dam,,abv,,SR hatchery,,244342,,801047,,268,,,,,1111," 1,046,768 ","244,610"," 244,342 "," 1,045,389 ",,0.23,1.00,0.00,0%,1.00 
220227,2015,subyearling,2014,CFA,,abv,,SR hatchery,,0,,0,,103380,,,,,58302," 161,682 ","103,380", -   , -   ,,0.64,0.00,1.00,36%,0.00 
220228,2015,subyearling,2014,CFA,,abv,,SR hatchery,,101234,,1499,,0,,,,,58100," 160,833 ","101,234"," 101,234 "," 102,733 ",,0.63,0.03,0.97,36%,0.64 
220229,2015,subyearling,2014,LGA,,abv,,SR hatchery,,101549,,890,,0,,,,,59167," 161,606 ","101,549"," 101,549 "," 102,439 ",,0.63,0.01,0.99,37%,0.63 
220230,2015,subyearling,2014,LGA,,abv,,SR hatchery,,0,,0,,102539,,,,,59367," 161,906 ","102,539", -   , -   ,,0.63,0.00,1.00,37%,0.00 
220245,2015,subyearling,2014,NPTH,,abv,,SR hatchery,,102279,,503,,1810,,,,,77123," 181,715 ","104,089"," 102,279 "," 102,782 ",,0.57,0.01,0.99,42%,0.57 
220246,2015,subyearling,2014,NPTH,,abv,,SR hatchery,,101866,,479,,2045,,,,,24953," 129,343 ","103,911"," 101,866 "," 102,345 ",,0.80,0.02,0.98,19%,0.79 
220248,2015,subyearling,2014,NPTH,,abv,,SR hatchery,,0,,0,,200997,,,,,156619," 357,616 ","200,997", -   , -   ,,0.56,0.00,1.00,44%,0.00 
220354,2015,subyearling,2014,CJA,,abv,,SR hatchery,,0,,17161,,96612,,,,,220490," 334,263 ","96,612", -   ," 17,161 ",,0.29,0.07,0.93,66%,0.05 
220355,2015,subyearling,2014,CJA,,abv,,SR hatchery,,95493,,6312,,0,,,,,102311," 204,116 ","95,493"," 95,493 "," 101,805 ",,0.47,0.06,0.94,50%,0.50 
220356,2015,subyearling,2014,BCA,acclimated,abv,,SR hatchery,,0,,28759,,94575,,,,,219163," 342,497 ","94,575", -   ," 28,759 ",,0.28,0.12,0.88,64%,0.08 
220357,2015,subyearling,2014,BCA,acclimated,abv,,SR hatchery,,95796,,6332,,0,,,,,102866," 204,994 ","95,796"," 95,796 "," 102,128 ",,0.47,0.06,0.94,50%,0.50 
220358,2015,subyearling,2014,PLA,,abv,,SR hatchery,,0,,1084,,96274,,,,,111340," 208,698 ","96,274", -   ," 1,084 ",,0.46,0.01,0.99,53%,0.01 
220359,2015,subyearling,2014,PLA,,abv,,SR hatchery,,97130,,4897,,0,,,,,87285," 189,312 ","97,130"," 97,130 "," 102,027 ",,0.51,0.05,0.95,46%,0.54 
220360,2015,subyearling,2014,CJA,,abv,,SR hatchery,,208078,,7238,,0,,,,,3274," 218,590 ","208,078"," 208,078 "," 215,316 ",,0.95,0.69,0.31,1%,0.99 
636882,2015,subyearling,2014,LFH,,blw,,SR hatchery,,188831,,14039,,1389,,,,,103," 204,362 ","190,220"," 188,831 "," 202,870 ",,0.93,0.99,0.01,0%,0.99 
636883,2015,subyearling,2014,GRR,,abv,,SR hatchery,,199938,,7541,,222,,,,,248400," 456,101 ","200,160"," 199,938 "," 207,479 ",,0.44,0.03,0.97,54%,0.45 
220247,2015,subyearling,2014,NPTH,acclimated,abv,5/29/2015,SR hatchery,,,,,,203450,,,,,50290," 253,740 ","203,450", -   , -   ,,0.80,0.00,1.00,20%,0.00 
190432,2016,yearling,2014,Yakima R,,blw,20160315,stray hatchery,33176,,,1921,,,,,,,," 35,097 ","33,176"," 33,176 "," 35,097 ",,0.95,1.00,0.00,0%,1.00 
90944,2016,yearling,2014,UMA,,blw,20160301,stray hatchery,,479481,,3545,,4431,,,,,," 487,457 ","483,912"," 479,481 "," 483,026 ",,0.99,1.00,0.00,0%,0.99 
90945,2016,yearling,2014,UMA,,blw,20160321,stray hatchery,,227783,,1256,,1256,,,,,419," 230,714 ","229,039"," 227,783 "," 229,039 ",,0.99,0.75,0.25,0%,0.99 
90946,2016,yearling,2014,UMA,,blw,,stray hatchery,,,,,,106112,,,,,193," 106,305 ","106,112", -   , -   ,,1.00,0.00,1.00,0%,0.00 
637038,2016,subyearling,2015,LFH,,blw,,SR hatchery,,187799,,12250,,964,,,,,1447," 202,460 ","188,763"," 187,799 "," 200,049 ",,0.93,0.89,0.11,1%,0.99 
220371,2016,subyearling,2015,PLA,,abv,,SR hatchery,,0,,0,,99175,,,,,98928," 198,103 ","99,175", -   , -   ,,0.50,0.00,1.00,50%,0.00 
220372,2016,subyearling,2015,PLA,,abv,,SR hatchery,,98913,,1798,,1199,,,,,98073," 199,983 ","100,112"," 98,913 "," 100,711 ",,0.50,0.02,0.98,49%,0.50 
220369,2016,subyearling,2015,BCA,acclimated,abv,,SR hatchery,,0,,0,,100349,,,,,199392," 299,741 ","100,349", -   , -   ,,0.33,0.00,1.00,67%,0.00 
220370,2016,subyearling,2015,BCA,acclimated,abv,,SR hatchery,,98974,,1420,,1011,,,,,99593," 200,998 ","99,985"," 98,974 "," 100,394 ",,0.50,0.01,0.99,50%,0.50 
220367,2016,subyearling,2015,CJA,,abv,,SR hatchery,,0,,0,,100540,,,,,202711," 303,251 ","100,540", -   , -   ,,0.33,0.00,1.00,67%,0.00 
220368,2016,subyearling,2015,CJA,,abv,,SR hatchery,,99210,,1793,,598,,,,,104383," 205,984 ","99,808"," 99,210 "," 101,003 ",,0.48,0.02,0.98,51%,0.49 
220373,2016,subyearling,2015,CJA,,abv,,SR hatchery,,193377,,1100,,4480,,,,,26," 198,983 ","197,857"," 193,377 "," 194,477 ",,0.99,0.98,0.02,0%,0.98 
637037,2016,subyearling,2015,GRR,,abv,,SR hatchery,,199619,,7993,,426,,,,,221850," 429,888 ","200,045"," 199,619 "," 207,612 ",,0.47,0.03,0.97,52%,0.48 
220255,2016,subyearling,2015,NPTH,,abv,,SR hatchery,,0,,0,,201269,,,,,165851," 367,120 ","201,269", -   , -   ,,0.55,0.00,1.00,45%,0.00 
220254,2016,subyearling,2015,NPTH,,abv,,SR hatchery,,101505,,1034,,2946,,,,,164819," 270,304 ","104,451"," 101,505 "," 102,539 ",,0.39,0.01,0.99,61%,0.38 
220251,2016,subyearling,2015,NPTH,,abv,,SR hatchery,,0,,0,,106506,,,,,4960," 111,466 ","106,506", -   , -   ,,0.96,0.00,1.00,4%,0.00 
220250,2016,subyearling,2015,NPTH,,abv,,SR hatchery,,0,,0,,95713,,,,,4940," 100,653 ","95,713", -   , -   ,,0.95,0.00,1.00,5%,0.00 
220249,2016,subyearling,2015,NPTH,,abv,,SR hatchery,,101709,,295,,1128,,,,,6397," 109,529 ","102,837"," 101,709 "," 102,004 ",,0.94,0.04,0.96,6%,0.93 
220243,2016,subyearling,2015,CFA,,abv,,SR hatchery,,0,,0,,102279,,,,,11776," 114,055 ","102,279", -   , -   ,,0.90,0.00,1.00,10%,0.00 
220244,2016,subyearling,2015,CFA,,abv,,SR hatchery,,101775,,287,,1334,,,,,11579," 114,975 ","103,109"," 101,775 "," 102,062 ",,0.90,0.02,0.98,10%,0.89 
220241,2016,subyearling,2015,LGA,,abv,,SR hatchery,,0,,0,,101622,,,,,9781," 111,403 ","101,622", -   , -   ,,0.91,0.00,1.00,9%,0.00 
220242,2016,subyearling,2015,LGA,,abv,,SR hatchery,,101522,,293,,1386,,,,,9587," 112,788 ","102,908"," 101,522 "," 101,815 ",,0.91,0.03,0.97,9%,0.90 
637040,2017,yearling,2015,LFH,non-acclimated,blw,4/3/2017,SR hatchery,,231541,,1641,,505,,,,,0," 233,687 ","232,046"," 231,541 "," 233,182 ",,0.99,1.00,0.00,0%,1.00 
220376,2017,yearling,2015,CJA,acclimated,abv,3/31/2017,SR hatchery,,,,,,84661,,,,,3656," 88,317 ","84,661", -   , -   ,,0.96,0.00,1.00,4%,0.00 
220377,2017,yearling,2015,CJA,acclimated,abv,3/31/2017,SR hatchery,,68105,,652,,1957,,,,,0," 70,714 ","70,062"," 68,105 "," 68,757 ",,0.99,1.00,0.00,0%,0.97 
220378,2017,yearling,2015,PLA,acclimated,abv,4/7/2017,SR hatchery,,68151,,469,,1876,,,,,0," 70,496 ","70,027"," 68,151 "," 68,620 ",,0.99,1.00,0.00,0%,0.97 
220374,2017,yearling,2015,BCA,acclimated,abv,,SR hatchery,,,,,,78532,,,,,776," 79,308 ","78,532", -   , -   ,,0.99,0.00,1.00,1%,0.00 
637041,2017,yearling,2015,LFH,,blw,,SR hatchery,,,,,,224056,,,,,815," 224,871 ","224,056", -   , -   ,,1.00,0.00,1.00,0%,0.00 
91013,2016,subyearling,2015,HC dam,,abv,,SR hatchery,,247014,,792552,,393,,,,,1226," 1,041,185 ","247,407"," 247,014 "," 1,039,566 ",,0.24,1.00,0.00,0%,1.00 
91177,2019,subyearling,2018,UMA,,blw,,stray hatchery,,163716,,407353,,,,,,,," 571,069 ","163,716"," 163,716 "," 571,069 ",,0.29,1.00,0.00,0%,1.00 
220375,2017,yearling,2015,PLA,,abv,,SR hatchery,,0,,,,78402,,,,,1981," 80,383 ","78,402", -   , -   ,,0.98,0.00,1.00,2%,0.00 
220379,2017,yearling,2015,BCA,acclimated,abv,,SR hatchery,,65641,,1771,,2451,,,,,0," 69,863 ","68,092"," 65,641 "," 67,412 ",,0.97,1.00,0.00,0%,0.96 
636965,2016,subyearling,2015,Klickitat,,blw,,stray hatchery,,444678,,,,,,,,,0," 444,678 ","444,678"," 444,678 ",,,1.00,0.00,1.00,0%,1.00 
637198,2017,subyearling,2016,LFH,non-acclimated,blw,5/31/2017,SR hatchery,,196441,,7211,,721,,,,,206," 204,579 ","197,162"," 196,441 "," 203,652 ",,0.96,0.97,0.03,0%,1.00 
220382,2017,subyearling,2016,LFH Accidental Early Release,non-acclimated,blw,3/20/2017,SR hatchery,0,0,0,0,0,107862,0,0,0,0,200890," 308,752 ","107,862", -   , -   ,,0.35,0.00,1.00,65%,0.00 
220386,2017,subyearling,2016,BCA,acclimated,abv,5/24/2017,SR hatchery,,,,,,108669,,,,,158289," 266,958 ","108,669", -   , -   ,,0.41,0.00,1.00,59%,0.00 
220383,2017,subyearling,2016,BCA,acclimated,abv,5/24/2017,SR hatchery,,103301,,2786,,3858,,,,,157215," 267,160 ","107,159"," 103,301 "," 106,087 ",,0.40,0.02,0.98,59%,0.40 
220380,2017,subyearling,2016,CJA,acclimated,abv,5/23/2017,SR hatchery,,,,,,105379,,,,,161572," 266,951 ","105,379", -   , -   ,,0.39,0.00,1.00,61%,0.00 
220381,2017,subyearling,2016,CJA,acclimated,abv,5/23/2017,SR hatchery,,106180,,1017,,3051,,,,,157022," 267,270 ","109,231"," 106,180 "," 107,197 ",,0.41,0.01,0.99,59%,0.40 
220384,2017,subyearling,2016,PLA,acclimated,abv,5/22/2017,SR hatchery,,,,,,107414,,,,,94838," 202,252 ","107,414", -   , -   ,,0.53,0.00,1.00,47%,0.00 
220385,2017,subyearling,2016,PLA,acclimated,abv,5/22/2017,SR hatchery,,106698,,734,,2937,,,,,92124," 202,493 ","109,635"," 106,698 "," 107,432 ",,0.54,0.01,0.99,45%,0.53 
637199,2017,subyearling,2016,GRR,non-acclimated,abv,5/30/2017,SR hatchery,,195781,,7997,,312,,,,,220303," 424,393 ","196,093"," 195,781 "," 203,778 ",,0.46,0.04,0.96,52%,0.48 
91138,2017,subyearling,2016,PLA/IPC,non-acclimated,abv,5/16/2017,SR hatchery,,206301,,830917,,109,,,,,109," 1,037,436 ","206,410"," 206,301 "," 1,037,218 ",,0.20,1.00,0.00,0%,1.00 
220253,2017,subyearling,2016,CFA,acclimated,abv,5/20/2017,SR hatchery,,,,,,103975,,,,,12288," 116,263 ","103,975", -   , -   ,,0.89,0.00,1.00,11%,0.00 
220252,2017,subyearling,2016,CFA,acclimated,abv,5/20/2017,SR hatchery,,103567,,668,,1589,,,,,12115," 117,939 ","105,156"," 103,567 "," 104,235 ",,0.89,0.05,0.95,10%,0.88 
220262,2017,subyearling,2016,LGA,acclimated,abv,6/7/2017,SR hatchery,,,,,,104357,,,,,14030," 118,387 ","104,357", -   , -   ,,0.88,0.00,1.00,12%,0.00 
220261,2017,subyearling,2016,LGA,acclimated,abv,6/7/2017,SR hatchery,,103854,,538,,2135,,,,,13858," 120,385 ","105,989"," 103,854 "," 104,392 ",,0.88,0.04,0.96,12%,0.87 
220257,2017,subyearling,2016,NPTH,acclimated,abv,5/30/2017,SR hatchery,,,,,,201037,,,,,85415," 286,452 ","201,037", -   , -   ,,0.70,0.00,1.00,30%,0.00 
220259,2017,subyearling,2016,NPTH,acclimated,abv,5/30/2017,SR hatchery,,100994,,441,,1067,,,,,85076," 187,578 ","102,061"," 100,994 "," 101,435 ",,0.54,0.01,0.99,45%,0.54 
220256,2017,subyearling,2016,NPTH,acclimated,abv,6/13/2017,SR hatchery,,,,,,201745,,,,,126155," 327,900 ","201,745", -   , -   ,,0.62,0.00,1.00,38%,0.00 
220260,2017,subyearling,2016,NPTH,acclimated,abv,6/13/2017,SR hatchery,,100202,,516,,1567,,,,,125816," 228,101 ","101,769"," 100,202 "," 100,718 ",,0.45,0.00,1.00,55%,0.44 
637202,2018,yearling,2016,LFYO,,blw,,SR hatchery,,0,,0,,229467,,,,,5328," 234,795 ","229,467", -   , -   ,,0.98,0.00,1.00,2%,0.00 
637203,2018,yearling,2016,LFYO,,blw,,SR hatchery,,235725,,1867,,124,,,,,0," 237,716 ","235,849"," 235,725 "," 237,592 ",,0.99,1.00,0.00,0%,1.00 
220388,2018,yearling,2016,BCA,acclimated,abv,,SR hatchery,,0,,0,,79688,,,,,787," 80,475 ","79,688", -   , -   ,,0.99,0.00,1.00,1%,0.00 
220391,2018,yearling,2016,BCA,acclimated,abv,,SR hatchery,,74106,,1999,,2767,,,,,0," 78,872 ","76,873"," 74,106 "," 76,105 ",,0.97,1.00,0.00,0%,0.96 
220389,2018,yearling,2016,CJA,,abv,,SR hatchery,,0,,0,,77407,,,,,3343," 80,750 ","77,407", -   , -   ,,0.96,0.00,1.00,4%,0.00 
220392,2018,yearling,2016,CJA,,abv,,SR hatchery,,76267,,731,,2192,,,,,0," 79,190 ","78,459"," 76,267 "," 76,998 ",,0.99,1.00,0.00,0%,0.97 
220387,2018,yearling,2016,PLA,,abv,,SR hatchery,,0,,0,,78532,,,,,1985," 80,517 ","78,532", -   , -   ,,0.98,0.00,1.00,2%,0.00 
220390,2018,yearling,2016,PLA,,abv,,SR hatchery,,76377,,525,,2102,,,,,0," 79,004 ","78,479"," 76,377 "," 76,902 ",,0.99,1.00,0.00,0%,0.97 
637181,2017,subyearling,2016,PRH,,blw,,stray hatchery,,121000,,,,,,,,,0," 121,000 ","121,000"," 121,000 ",,,1.00,0.00,1.00,0%,1.00 
637194,2017,subyearling,2016,Klickitat,,blw,,stray hatchery,,452305,,,,,,,,,0," 452,305 ","452,305"," 452,305 ",,,1.00,0.00,1.00,0%,1.00 
91185,2018,subyearling,2017,IPCSR,N,abv,,SR hatchery,,201376,,841583,,103,,,,,2722," 1,045,784 ","201,479"," 201,376 "," 1,042,959 ",,0.19,1.00,0.00,0%,1.00 
220258,2018,subyearling,2017,NLVA,N,abv,,SR hatchery,,102250,,584,,1080,,,,,127142," 231,056 ","103,330"," 102,250 "," 102,834 ",,0.45,0.00,1.00,55%,0.45 
220266,2018,subyearling,2017,NPTH,N,abv,,SR hatchery,,103453,,926,,1162,,,,,538846," 644,387 ","104,615"," 103,453 "," 104,379 ",,0.16,0.00,1.00,84%,0.16 
220271,2018,subyearling,2017,LGA,N,abv,,SR hatchery,,105359,,581,,373,,,,,206082," 312,395 ","105,732"," 105,359 "," 105,940 ",,0.34,0.00,1.00,66%,0.34 
220393,2019,yearling,2017,FCAP,N,abv,mixed wire,SR hatchery,,,,,,79952,,,,,0," 79,952 ","79,952", -   , -   ,,1.00,0.00,1.00,0%,0.00 
220395,2019,yearling,2017,FCAP,N,abv,mixed wire,SR hatchery,,,,,,80019,,,,,0," 80,019 ","80,019", -   , -   ,,1.00,0.00,1.00,0%,0.00 
220396,2019,yearling,2017,FCAP,N,abv,mixed wire,SR hatchery,,70104,,,,,,,,,0," 70,104 ","70,104"," 70,104 "," 70,104 ",,1.00,0.00,1.00,0%,1.00 
220398,2019,yearling,2017,FCAP,N,abv,mixed wire,SR hatchery,,70156,,,,,,,,,0," 70,156 ","70,156"," 70,156 "," 70,156 ",,1.00,0.00,1.00,0%,1.00 
220502,2018,subyearling,2017,CJA1,N,abv,,SR hatchery,,100367,,,,606,,,,,159639," 260,612 ","100,973"," 100,367 "," 100,367 ",,0.39,0.00,1.00,61%,0.39 
220503,2018,subyearling,2017,CJA2,N,abv,,SR hatchery,,0,,,,100176,,,,,160837," 261,013 ","100,176", -   , -   ,,0.38,0.00,1.00,62%,0.00 
220504,2018,subyearling,2017,BCA1,N,abv,,SR hatchery,,100022,,,,604,,,,,159107," 259,733 ","100,626"," 100,022 "," 100,022 ",,0.39,0.00,1.00,61%,0.39 
220505,2018,subyearling,2017,BCA2,N,abv,,SR hatchery,,0,,,,99272,,,,,160293," 259,565 ","99,272", -   ,   ,,0.38,0.00,1.00,62%,0.00 
220506,2018,subyearling,2017,PLA1,N,abv,,SR hatchery,,96631,,1746,,2523,,,,,105390," 206,290 ","99,154"," 96,631 "," 98,377 ",,0.48,0.02,0.98,51%,0.48 
220507,2018,subyearling,2017,PLA2,N,abv,,SR hatchery,,0,,0,,99691,,,,,106583," 206,274 ","99,691", -   , -   ,,0.48,0.00,1.00,52%,0.00 
220508,2018,subyearling,2017,CJAl,L,abv,,SR hatchery,,194125,,1860,,5578,,,,,0," 201,563 ","199,703"," 194,125 "," 195,985 ",,0.99,1.00,0.00,0%,0.97 
637394,2018,subyearling,2017,LFSO,N,blw,,SR hatchery,,197311,,1400,,862,,,,,215," 199,788 ","198,173"," 197,311 "," 198,711 ",,0.99,0.87,0.13,0%,0.99 
637395,2018,subyearling,2017,GRR,N,abv,,SR hatchery,,203686,,4329,,950,,,,,208856," 417,821 ","204,636"," 203,686 "," 208,015 ",,0.49,0.02,0.98,50%,0.50 
637397,2019,yearling,2017,LFYO,N,blw,,SR hatchery,,,,,,218140,,,,,1355," 219,495 ","218,140", -   , -   ,,0.99,0.00,1.00,1%,0.00 
637398,2019,yearling,2017,LFYO,N,blw,,SR hatchery,,225552,,1151,,115,,,,,690," 227,508 ","225,667"," 225,552 "," 226,703 ",,0.99,0.63,0.37,0%,1.00 
637603,2020,yearling,2018,LFYO,N,blw,,SR hatchery,,430997,,7317,,,,,,,," 438,314 ","430,997"," 430,997 "," 438,314 ",,0.98,1.00,0.00,0%,1.00 
